品牌=["Ikarao"],报告范围=["每月"],选择年份=["2025"],选择月份=["8 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光: 曝光品牌数量","曝光: 品牌曝光占比 %",点击量：总次数,"点击量：点击率 %",点击量：点击的品牌数,"点击量：品牌点击占比 %","点击量：价格(中位数)",点击量：品牌售价（中位数）,点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%",加入购物车：涉及品牌数,"购物车添加：品牌份额 %",加入购物车：售价（中位数）,购物车添加：品牌价格（中位数）,购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%",购买次数：品牌数量,"购买次数：品牌份额 %",购买次数：价格（中位数）,购买次数：品牌价格（中位数）,下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machine with music","619","52","1310","228","17.4","25","48.08","9","36.0","159.99","159.99","1","11","6","3","5.77","1","33.33","159.99","159.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-08-31"
"karaoke machine autotune","147","169","3887","1045","26.88","86","50.89","25","29.07","94.97","279.98","5","36","25","8","4.73","4","50.0","129.97","159.99","2","1","3","0","0.0","0",,,,"0","0","0","2025-08-31"
"karaoke machine for adults with screen","52","493","10927","2795","25.58","203","41.18","49","24.14","159.98","159.99","24","83","64","34","6.9","10","29.41","159.99","159.99","3","18","9","4","0.81","2","50.0","159.99","159.99","0","3","1","2025-08-31"
"karaoke machine with preloaded songs","583","97","4471","581","12.99","34","35.05","8","23.53","159.98","349.99","0","19","4","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"mini karaoke machine with 2 wireless microphones","271","4762","112408","851","0.76","2380","49.98","4","0.17","18.99","249.99","336","1153","527","1072","22.51","2","0.19","18.02","249.99","169","546","230","256","5.38","0","0.0","18.02",,"48","131","54","2025-08-31"
"speaker with screen display","191","410","8360","1321","15.8","125","30.49","11","8.8","299.0","349.99","5","17","38","19","4.63","2","10.53","318.88","349.99","0","3","5","1","0.24","0","0.0","699.99",,"0","0","0","2025-08-31"
"ikarao karaoke shell2","455","2","41","32","78.05","1","50.0","1","100.0","246.47","246.47","0","0","1","1","50.0","1","100.0","246.47","246.47","0","0","1","1","50.0","1","100.0","246.47","246.47","0","0","1","2025-08-31"
"magic sing karaoke system 2025","26","2762","64214","10692","16.65","1186","42.94","88","7.42","491.29","279.98","37","300","325","118","4.27","6","5.08","491.29","249.99","3","37","35","8","0.29","0","0.0","192.96",,"0","3","2","2025-08-31"
"karaoke machine that shows lyrics","941","37","836","277","33.13","22","59.46","5","22.73","64.97","159.99","8","7","4","3","8.11","0","0.0","59.49",,"0","2","1","1","2.7","0","0.0","64.97",,"0","1","0","2025-08-31"
"karaoke machine youtube usbc charging","469","3","61","19","31.15","2","66.67","1","50.0","89.99","279.98","1","1","0","1","33.33","1","100.0","279.98","279.98","0","1","0","1","33.33","1","100.0","279.98","279.98","0","1","0","2025-08-31"
"cotodama lyric speaker","787","967","18855","266","1.41","364","37.64","2","0.55","319.99","349.99","4","50","84","97","10.03","1","1.03","329.99","349.99","2","8","20","0","0.0","0",,,,"0","0","0","2025-08-31"
"apple karaoke machine","541","61","1298","398","30.66","27","44.26","9","33.33","349.99","249.99","3","7","4","3","4.92","1","33.33","349.99","349.99","0","2","1","1","1.64","0","0.0","59.49",,"0","1","0","2025-08-31"
"small karaoke machine","159","1680","41560","1993","4.8","715","42.56","16","2.24","19.99","249.99","85","325","187","256","15.24","1","0.39","18.02","246.47","32","121","59","78","4.64","0","0.0","18.99",,"13","37","20","2025-08-31"
"bluetooth karaoke machine","66","2178","54381","4404","8.1","833","38.25","36","4.32","59.49","246.47","117","317","179","239","10.97","3","1.26","53.53","159.99","45","93","40","59","2.71","0","0.0","53.53",,"11","27","10","2025-08-31"
"zeelink karaoke machine","732","141","2934","527","17.96","72","51.06","3","4.17","89.99","246.47","3","24","39","15","10.64","0","0.0","89.99",,"0","5","8","5","3.55","0","0.0","89.99",,"0","2","3","2025-08-31"
"karaoke app","759","542","8910","470","5.27","109","20.11","4","3.67","0.0","159.98","0","4","3","20","3.69","0","0.0","0.0",,"0","1","0","19","3.51","0","0.0","0.0",,"0","0","0","2025-08-31"
"karaoke machine for kids","15","37523","887683","15790","1.78","16000","42.64","124","0.78","21.99","159.99","1867","7166","3215","5259","14.02","16","0.3","20.89","159.98","775","2605","1068","1546","4.12","6","0.39","19.99","159.98","299","827","252","2025-08-31"
"ikaro break x1","687","17","178","109","61.24","10","58.82","9","90.0","594.99","594.99","0","6","2","2","11.76","1","50.0","267.88","299.97","0","1","1","0","0.0","0",,,,"0","0","0","2025-08-31"
"karaoke machines on amazon","372","104","2385","587","24.61","37","35.58","8","21.62","116.99","349.99","1","10","20","6","5.77","1","16.67","99.99","159.98","0","0","5","1","0.96","0","0.0","399.99",,"0","0","0","2025-08-31"
"compact karaoke machine for travel","385","45","949","114","12.01","21","46.67","1","4.76","25.99","246.47","3","11","5","1","2.22","1","100.0","246.47","246.47","0","1","0","1","2.22","1","100.0","246.47","246.47","0","1","0","2025-08-31"
"karaoke machines with lyrics display","135","184","4898","1077","21.99","72","39.13","15","20.83","77.99","159.99","5","37","19","23","12.5","4","17.39","72.99","159.99","2","11","7","4","2.17","1","25.0","59.49","159.98","0","3","1","2025-08-31"
"i karaoke","697","30","607","166","27.35","8","26.67","7","87.5","349.99","349.99","1","1","5","1","3.33","1","100.0","246.47","246.47","1","0","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"geardon karaoke machine","257","288","6837","1379","20.17","124","43.06","6","4.84","599.99","359.99","5","28","52","19","6.6","0","0.0","599.99",,"0","5","6","5","1.74","0","0.0","599.99",,"0","1","0","2025-08-31"
"best korean karaoke machine","330","123","3110","493","15.85","29","23.58","7","24.14","349.99","349.99","2","6","8","5","4.07","2","40.0","359.99","349.99","0","1","2","0","0.0","0",,,,"0","0","0","2025-08-31"
"ikarao karaoke machine shell s1","328","26","638","350","54.86","19","73.08","18","94.74","246.47","246.47","1","1","2","1","3.85","1","100.0","246.47","246.47","0","1","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"purple karaoke machine with a tablet","782","3","63","13","20.63","2","66.67","2","100.0","246.47","246.47","0","2","0","2","66.67","2","100.0","246.47","246.47","0","2","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"karaoke for kids","868","1329","35843","434","1.21","490","36.87","2","0.41","20.89","159.98","80","227","93","131","9.86","0","0.0","19.99",,"17","68","22","42","3.16","0","0.0","19.98",,"5","24","7","2025-08-31"
"kareoke microphone with bluetooth and wireless microphone for adults","114","1638","40571","2321","5.72","494","30.16","23","4.66","47.39","349.99","68","223","112","129","7.88","4","3.1","35.99","349.99","21","64","27","31","1.89","0","0.0","24.99",,"5","16","6","2025-08-31"
"karokee machine with microphone","495","2","81","9","11.11","1","50.0","1","100.0","349.99","349.99","0","1","0","1","50.0","1","100.0","349.99","349.99","0","1","0","1","50.0","1","100.0","349.99","349.99","0","1","0","2025-08-31"
"bluetooth portable karaoke machine for adults","421","18","369","65","17.62","2","11.11","1","50.0","69.99","246.47","0","2","0","1","5.56","1","100.0","246.47","246.47","0","1","0","1","5.56","1","100.0","246.47","246.47","0","1","0","2025-08-31"
"portable karaoke with screen","451","43","925","299","32.32","15","34.88","6","40.0","199.99","159.98","0","2","4","4","9.3","2","50.0","80.72","159.98","0","2","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"singing machine karaoke system","597","256","6307","738","11.7","72","28.13","3","4.17","129.99","359.99","2","18","19","11","4.3","0","0.0","102.97",,"0","3","4","3","1.17","0","0.0","121.57",,"0","1","0","2025-08-31"
"cheap karaoke machine","766","473","13903","429","3.09","180","38.05","5","2.78","23.99","249.99","11","75","53","52","10.99","0","0.0","14.99",,"5","18","12","6","1.27","0","0.0","14.99",,"0","3","1","2025-08-31"
"ikarao smart karaoke machine for adults","6","1976","49967","21578","43.18","932","47.17","831","89.16","349.68","349.99","48","336","329","203","10.27","187","92.12","349.99","349.99","16","75","70","45","2.28","43","95.56","279.98","279.98","4","19","12","2025-08-31"
"karaoke machine with autotune","23","1087","27321","6528","23.89","508","46.73","117","23.03","94.97","246.47","41","239","110","73","6.72","15","20.55","94.97","159.99","14","28","22","15","1.38","4","26.67","94.97","159.99","3","8","3","2025-08-31"
"shell s2","881","18","517","59","11.41","6","33.33","5","83.33","246.47","249.99","1","3","1","1","5.56","1","100.0","249.99","249.99","0","1","0","0","0.0","0",,,,"0","0","0","2025-08-31"
"home karaoke system for smart tv","88","526","12952","2511","19.39","163","30.99","34","20.86","138.0","299.99","13","60","52","27","5.13","3","11.11","79.99","246.47","3","13","7","7","1.33","1","14.29","74.99","246.47","1","3","2","2025-08-31"
"ktv karaoke machine","581","264","6015","775","12.88","90","34.09","3","3.33","544.0","349.99","1","13","6","5","1.89","0","0.0","129.97",,"1","3","0","1","0.38","0","0.0","279.99",,"0","1","0","2025-08-31"
"outdoor karaoke machine","134","272","6116","1177","19.24","139","51.1","18","12.95","116.99","246.47","12","56","35","37","13.6","6","16.22","74.99","159.99","5","17","9","6","2.21","0","0.0","129.97",,"1","2","2","2025-08-31"
"shell 1 karaoke","368","7","105","16","15.24","5","71.43","5","100.0","246.47","246.47","1","2","2","1","14.29","1","100.0","279.98","279.98","0","1","0","1","14.29","1","100.0","279.98","279.98","0","1","0","2025-08-31"
"karaoke machines for adults with screen","393","69","2636","328","12.44","27","39.13","7","25.93","159.99","159.99","1","11","7","4","5.8","2","50.0","139.65","349.99","0","4","0","1","1.45","0","0.0","64.97",,"0","1","0","2025-08-31"
