判定,搜索词,12月机会单,12月大盘成交,我成交份额%,我12月成交,覆盖月数,曝光份额%,点击份额%,成交份额%,最大漏点,竞品前3集中度%,头号竞品ASIN,竞品品牌(约),竞品趋势,应战型号,该ASIN成交价$,大盘点击中位$,该ASIN毛利%,运营,毛利闸
次选/机会池,home karaoke system,176,192,8.3,16,12,14.1,10.8,8.3,曝光→点击,36.6,B0D86TTLGZ,PPMIC,样本不足,X2,349,100,18.6,赵健宏,薄利·冲量看7%线
守·领先词,karaoke machine for adults with lyrics display,176,209,15.8,33,12,18.3,15.9,15.8,曝光→点击,35.8,B0D1VJMSQG,Ikarao,样本不足,S3,217,129,23.6,毛香明,毛利可撑
放弃·他人品牌词,jbl karaoke speaker,175,175,0.0,0,12,1.5,0.5,0.0,曝光→点击,34.7,B0CW89H6L6,JBL,→稳,—,,329,,—,—
次选/机会池,bluetooth karaoke,174,175,0.6,1,12,3.5,1.5,0.6,曝光→点击,32.2,B0D1VJMSQG,BEILIHART,样本不足,—,,51,,—,—
次选/机会池,karaoke for tv,173,180,3.9,7,12,10.4,5.3,3.9,曝光→点击,31.3,B0F9WHHLKL,SunTrok,样本不足,S2,264,79,16.6,毛香明,薄利·冲量看7%线
次选/机会池,hwwr karaoke machine,164,166,1.2,2,7,4.7,1.2,1.2,曝光→点击,54.8,B0DNF63P4Y,HWWR,样本不足,—,,89,,—,—
次选/机会池,karaoke machine with cd player,156,156,0.0,0,9,2.1,0.6,0.0,曝光→点击,29.8,B01F5LW3F8,Singing Machine,样本不足,—,,79,,—,—
次选/机会池,karaoke party,155,156,0.6,1,3,1.0,0.3,0.6,曝光→点击,17.6,B0FDQC5BNQ,Luditek,样本不足,—,,13,,—,—
数据薄·观察,axon mini karaoke machine,148,148,0.0,0,1,2.0,0.1,0.0,曝光→点击,51.1,B0CNX6MMK3,BEILIHART,样本不足,—,,23,,—,—
守·领先词,karaoke machine with autotune,147,169,13.0,22,12,19.6,15.5,13.0,曝光→点击,48.1,B0D86TTLGZ,PPMIC,样本不足,S1,299,99,27.0,赵健宏,毛利可撑
数据薄·观察,microphone for karaoke,144,144,0.0,0,1,0.2,0.2,0.0,点击→成交,28.6,B08QSJMHKW,BONAOK,→稳,—,,21,,—,—
次选/机会池,karaoke machine 2 microphones,143,145,1.4,2,12,4.1,2.2,1.4,曝光→点击,28.6,B0D1VJMSQG,CYY,样本不足,X2,399,53,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,kids karaoke machine for boys,141,141,0.0,0,2,0.9,0.2,0.0,曝光→点击,33.2,B0CNX6MMK3,BEILIHART,→稳,—,,21,,—,—
次选/机会池,speaker karaoke,141,142,0.7,1,12,3.0,2.3,0.7,点击→成交,24.5,B0D1VJMSQG,CYY,样本不足,—,,94,,—,—
次选/机会池,portable handheld karaoke machine,139,139,0.0,0,3,4.7,1.5,0.0,曝光→点击,52.6,B071SGMQ7V,BONAOK,样本不足,—,,19,,—,—
次选/机会池,moyleaf karaoke machine,138,138,0.0,0,9,6.1,0.6,0.0,曝光→点击,73.0,B0D1VJMSQG,MOYLEAF,样本不足,—,,59,,—,—
放弃·他人品牌词,bonaok wireless bluetooth karaoke microphone,138,138,0.0,0,3,1.0,0.7,0.0,点击→成交,66.8,B071SGMQ7V,BONAOK,↓降,—,,19,,—,—
次选/机会池,car karaoke machine,138,138,0.0,0,4,1.5,1.0,0.0,点击→成交,41.2,B0CNX6MMK3,BEILIHART,样本不足,—,,20,,—,—
次选/机会池,karaoke machine small,137,138,0.7,1,6,3.3,1.4,0.7,曝光→点击,28.1,B0CNX6MMK3,BEILIHART,样本不足,—,,19,,—,—
次选/机会池,karaoke equipment,133,141,5.7,8,12,7.1,6.6,5.7,点击→成交,17.1,B0D1VJMSQG,Singing Machine,→稳,X2,332,134,18.6,赵健宏,薄利·冲量看7%线
放弃·他人品牌词,cyy karaoke machine,132,132,0.0,0,2,5.2,0.3,0.0,曝光→点击,88.2,B0D1VJMSQG,CYY,样本不足,—,,59,,—,—
次选/机会池,karaoke microphone for tv,129,130,0.8,1,7,2.7,0.8,0.8,曝光→点击,28.7,B08WHHWRST,ECHOMUSSY,样本不足,—,,48,,—,—
守·品牌词,ikarao karaoke machine,125,1767,92.9,1642,12,44.9,87.3,92.9,点击→成交,67.4,—,Ikarao,样本不足,X2,349,279,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,amazon karaoke machine,124,134,7.5,10,11,13.5,7.9,7.5,曝光→点击,36.7,B0D1VJMSQG,CYY,样本不足,X2,349,71,18.6,赵健宏,薄利·冲量看7%线
放弃·他人品牌词,masingo karaoke machine,121,123,1.6,2,12,7.8,2.1,1.6,曝光→点击,32.5,B0C3HLF9T2,MASINGO,样本不足,—,,77,,—,—
次选/机会池,karaoke￼,121,124,2.4,3,8,8.5,4.6,2.4,曝光→点击,32.2,B0D1VJMSQG,CYY,样本不足,S2,264,53,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke machine that connects to tv,118,120,1.7,2,12,12.8,6.4,1.7,曝光→点击,38.9,B0D1VJMSQG,PPMIC,样本不足,X2,399,79,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,wicked karaoke machine,117,117,0.0,0,6,4.5,0.6,0.0,曝光→点击,72.0,B0DQYSN56W,eKids,样本不足,—,,29,,—,—
次选/机会池,karaoke portable,117,118,0.8,1,12,9.5,6.8,0.8,点击→成交,32.3,B0CNX6MMK3,BEILIHART,样本不足,—,,51,,—,—
数据薄·观察,kulture karaoke,115,115,0.0,0,1,4.0,1.0,0.0,曝光→点击,94.6,B08SCR1QCQ,Kulture Karaoke,样本不足,—,,7,,—,—
次选/机会池,adult karaoke machine with 2 microphones,114,116,1.7,2,11,7.4,5.2,1.7,点击→成交,33.1,B0D1VJMSQG,CYY,样本不足,—,,64,,—,—
次选/机会池,portable karaoke system,112,123,8.9,11,12,12.9,13.3,8.9,点击→成交,37.4,B0D1VJMSQG,CYY,样本不足,X2,332,74,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,￼karaoke,112,113,0.9,1,7,7.4,5.1,0.9,点击→成交,23.7,B0D1VJMSQG,CYY,样本不足,S2,249,53,16.6,毛香明,薄利·冲量看7%线
守·领先词,karaoke machine for adults with screen,111,140,20.7,29,12,19.7,15.3,20.7,曝光→点击,25.9,B0FFS51QKS,PPMIC,样本不足,S2,279,137,16.6,毛香明,薄利·冲量看7%线
守·领先词,best karaoke machine,111,132,15.9,21,12,16.2,18.3,15.9,点击→成交,34.3,B0D1VJMSQG,Ikarao,样本不足,X2,349,119,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,top 10 karaoke machines,111,121,8.3,10,12,16.4,12.7,8.3,点击→成交,39.5,B0D1VJMSQG,CYY,样本不足,S2,249,99,16.6,毛香明,薄利·冲量看7%线
放弃·他人品牌词,magic sing karaoke system 2025,108,113,4.4,5,9,15.0,7.2,4.4,曝光→点击,52.9,B08D7X9D2D,MAGIC SING,样本不足,S2,236,499,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke machine with wireless microphone,108,109,0.9,1,12,4.7,3.0,0.9,点击→成交,30.0,B0D1VJMSQG,CYY,样本不足,—,,59,,—,—
次选/机会池,karaoke machine with two microphones,108,111,2.7,3,8,4.5,2.6,2.7,曝光→点击,29.0,B0D1VJMSQG,CYY,样本不足,X2,399,59,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,rhm karaoke machine,107,108,0.9,1,12,13.9,2.4,0.9,曝光→点击,70.6,B07RB5BHYV,RHM,样本不足,—,,289,,—,—
守·领先词,karaoke machine with screen lyrics display,107,138,22.5,31,12,19.1,16.4,22.5,曝光→点击,28.6,B0FQCFZCS8,PPMIC,样本不足,S2,249,129,16.6,毛香明,薄利·冲量看7%线
放弃·他人品牌词,singtrix karaoke system,106,111,4.5,5,12,17.4,6.3,4.5,曝光→点击,84.5,B00JBJ2HNO,Singtrix,样本不足,X2,332,399,18.6,赵健宏,薄利·冲量看7%线
数据薄·观察,christmas karaoke,106,107,0.9,1,2,3.2,1.1,0.9,曝光→点击,51.5,B0DQFF6YVZ,—,样本不足,—,,20,,—,—
次选/机会池,karaoke box,104,108,3.7,4,12,6.4,4.6,3.7,曝光→点击,21.9,B0D1VJMSQG,BEILIHART,样本不足,S2,223,59,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke machine microphone,102,102,0.0,0,3,1.8,1.3,0.0,点击→成交,46.6,B08QSJMHKW,YIOWNER,样本不足,—,,18,,—,—
次选/机会池,bluetooth karaoke speaker with microphone,102,102,0.0,0,7,1.6,1.1,0.0,点击→成交,28.5,B0D1VJMSQG,BEILIHART,样本不足,—,,59,,—,—
守·领先词,professional karaoke machine,102,126,19.0,24,12,13.3,14.2,19.0,曝光→点击,27.5,B0DPMPYVHB,Ikarao,样本不足,X2,349,354,18.6,赵健宏,薄利·冲量看7%线
守·领先词,pro karaoke machine for adults,98,114,14.0,16,12,17.6,16.1,14.0,点击→成交,35.2,B0D1VJMSQG,Ikarao,样本不足,X2,332,129,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,karaoke for kids,95,95,0.0,0,2,1.2,0.2,0.0,曝光→点击,25.7,B0CHS2VNHC,YLL,→稳,—,,21,,—,—
守·领先词,professional karaoke machine system,95,110,13.6,15,9,13.4,11.4,13.6,曝光→点击,28.9,B0D1VJMSQG,Ikarao,样本不足,X2,349,299,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke mixer system,93,93,0.0,0,10,2.5,0.7,0.0,曝光→点击,23.4,B09WL9Y58F,Sound Town,样本不足,—,,96,,—,—
放弃·他人品牌词,karafun karaoke machine,92,142,35.2,50,12,31.4,47.4,35.2,点击→成交,57.0,B0CGRRGY6S,Ikarao,样本不足,S2,248,175,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,voice changer karaoke machine,92,92,0.0,0,1,5.6,0.5,0.0,曝光→点击,50.8,B0CNX6MMK3,BEILIHART,样本不足,—,,23,,—,—
放弃·他人品牌词,karaoke jbl,91,93,2.2,2,12,4.4,2.3,2.2,曝光→点击,35.4,B0CW89H6L6,JBL,↓降,X2,332,299,18.6,赵健宏,薄利·冲量看7%线
数据薄·观察,karaoke accessories for adults,90,90,0.0,0,1,2.3,0.4,0.0,曝光→点击,32.9,B0827DTBS4,Game That Song,样本不足,—,,19,,—,—
放弃·他人品牌词,tonor k20 wireless karaoke machine,84,93,9.7,9,12,17.3,8.4,9.7,曝光→点击,78.8,B083LPYPS9,TONOR,样本不足,S1,272,199,27.0,赵健宏,毛利可撑
次选/机会池,karaoke machine with lyrics,82,93,11.8,11,12,20.2,14.8,11.8,曝光→点击,30.4,B0DVQBCC47,PPMIC,样本不足,S2,223,99,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke speakers,82,84,2.4,2,12,2.3,1.9,2.4,曝光→点击,17.9,B07G45QZM3,Rockville,样本不足,X2,366,159,18.6,赵健宏,薄利·冲量看7%线
放弃·他人品牌词,the singing machine karaoke,81,82,1.2,1,11,9.2,2.8,1.2,曝光→点击,68.8,B0DFPG9PJN,Singing Machine,样本不足,—,,129,,—,—
儿童·Q4新品,girls karaoke machine,81,81,0.0,0,1,0.3,0.4,0.0,点击→成交,29.1,B0CHS2VNHC,YLL,样本不足,—,,23,,—,—
守·领先词,karaoke portable systems,80,100,20.0,20,12,10.8,12.9,20.0,曝光→点击,19.7,B0CNX6MMK3,Ikarao,样本不足,S2,249,101,16.6,毛香明,薄利·冲量看7%线
放弃·他人品牌词,karaoke machine for adults jbl,80,80,0.0,0,12,5.6,3.6,0.0,点击→成交,25.1,B0CW89H6L6,JBL,样本不足,—,,199,,—,—
数据薄·观察,karaoke machine with voice changer,80,81,1.2,1,2,4.0,1.3,1.2,曝光→点击,33.8,B0CNX6MMK3,BEILIHART,样本不足,—,,25,,—,—
儿童·Q4新品,karaoke machine for girls,80,80,0.0,0,1,0.4,0.4,0.0,点击→成交,26.4,B0DP2WQRLJ,YLL,样本不足,—,,28,,—,—
放弃·他人品牌词,singsation karaoke machine,78,78,0.0,0,10,8.9,1.4,0.0,曝光→点击,77.9,B07J5Q4P38,Singsation,样本不足,—,,78,,—,—
次选/机会池,karaoke machine 4 microphones,78,78,0.0,0,5,3.4,1.6,0.0,曝光→点击,39.3,B0FMY497F2,voijump,样本不足,—,,94,,—,—
次选/机会池,karaoke machine amazon,78,80,2.5,2,8,12.8,5.1,2.5,曝光→点击,40.8,B0D1VJMSQG,CYY,样本不足,S2,246,64,16.6,毛香明,薄利·冲量看7%线
次选/机会池,professional karaoke machine for adults,77,87,11.5,10,12,12.6,13.3,11.5,点击→成交,22.4,B0CQT9DK1M,Ikarao,样本不足,X2,349,306,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke system for home,77,85,9.4,8,12,11.1,7.8,9.4,曝光→点击,26.8,B0F9WHHLKL,SunTrok,样本不足,X2,341,129,18.6,赵健宏,薄利·冲量看7%线
